feature,importance
llm_pca_0001,0.0772641331721724
Bit_669,0.04751470986818357
llm_pca_0018,0.03346064858729891
Bit_914,0.0280383611708509
Active Layer,0.0275035924777004
Bit_569,0.026858969482099482
Bit_116,0.024304858473326585
Bit_1010,0.023384525920978838
fr_ketone,0.022688559054725332
Bit_117,0.021976813720578636
Bit_749,0.021362720166819005
llm_pca_0004,0.02127151848604203
Bit_379,0.020935164683249186
fr_C_O,0.01955307507622278
llm_pca_0005,0.019255319400941606
llm_pca_0024,0.01881596970292282
llm_pca_0020,0.01737234372219959
Bit_92,0.015661044509012845
Bit_614,0.015581286648901793
Bit_333,0.015302284921914489
Bit_22,0.015251408722643911
Bit_1009,0.015193358496727816
fr_ketone_Topliss,0.015073222358142013
Bit_329,0.014861456814578178
Bit_281,0.014755194904535474
llm_pca_0028,0.014646609206462102
Bit_932,0.014252668314941763
llm_pca_0017,0.014225577995616911
Bit_602,0.013697231589152759
llm_pca_0008,0.013626040984513366
Bit_431,0.013385806420297852
Bit_363,0.013273652603411845
llm_pca_0010,0.013109385166044318
Bit_948,0.012724451227234646
Bit_7,0.01230544884297291
Bit_814,0.012291246418489166
Bit_352,0.012186758660600927
llm_pca_0021,0.012114028855262304
Bit_314,0.01187568941431516
llm_pca_0030,0.011702717872658641
Bit_598,0.011607439769591277
Bit_383,0.011583280050602829
llm_pca_0009,0.011446594748584282
fr_Ar_NH,0.011372388824853197
Bit_392,0.011340397419409287
Bit_96,0.011063594587732928
Bit_718,0.010857770253321353
Bit_854,0.010811128718003049
Post-washing Annealing Time (min),0.010802398503970412
Bit_830,0.01077188763015613
Bit_960,0.010720925035734463
Bit_940,0.010609711021813129
Bit_322,0.010483553499150589
Bit_772,0.01035154561763435
Bit_203,0.010262709913721468
Bit_446,0.010248958950909381
llm_pca_0016,0.010117782902867745
llm_pca_0026,0.010093159170057264
Bit_192,0.009975514787604722
Bit_781,0.00996363723951943
Bit_885,0.009953831862020479
Bit_819,0.00995276017607083
Bit_596,0.009849917020861187
Bit_841,0.009728152058594675
Bit_1,0.009599310350169477
Bit_836,0.009587190728741202
SAM Solvent,0.009582475359099174
PEOE_VSA12,0.009491342802954383
Bit_698,0.009389392229948612
Bit_695,0.009367880643674886
Bit_370,0.009316339201495938
llm_pca_0029,0.009123441530537346
Bit_479,0.009105780892302962
Bit_233,0.008886568786126314
Bit_987,0.008616542901182578
SlogP_VSA4,0.008485231278708927
fr_thiophene,0.008390984352507902
fr_methoxy,0.008383352493468887
Bit_25,0.008380727693662382
Bit_969,0.008344857314648124
Bit_984,0.008202281000826261
BCUT2D_MWHI,0.00819435338224439
llm_pca_0007,0.008091773026715543
Bit_170,0.00804553773129052
Bit_685,0.008019578819846718
Bit_147,0.007904569884908286
llm_pca_0013,0.0077571697790213
Bit_77,0.007739002223548841
Bit_521,0.007624561910517191
Bit_230,0.007572832832793919
Bit_673,0.00755138022742341
Bit_512,0.007520912063252061
Bit_743,0.007372230974232452
Bit_486,0.007371040374609172
Bit_547,0.007299709572574753
Spin Coating Speed (rpm),0.007195640909330281
EState_VSA8,0.007145653930265394
Soak Time,0.006991952160323334
Bit_694,0.00681483689354756
Bit_985,0.006796569149792708
Bit_875,0.006661271127819057
Bit_470,0.006581120231465898
SMR_VSA9,0.00649082307748311
Bit_605,0.0064348587635215115
Bit_700,0.006337103559207247
Bit_173,0.006333849630395294
Bit_194,0.0062670100066613
Bit_831,0.006252917080353915
Bit_196,0.006246823914713762
Bit_106,0.006233831096206066
Bit_221,0.006218299536560057
Bit_543,0.006215919027870109
SlogP_VSA6,0.006196173453151044
Bit_786,0.006146913132543563
Bit_661,0.006109322939175932
llm_pca_0014,0.0061059123962926565
Bit_623,0.006088347715376197
fr_amide,0.005957918636055548
Bit_208,0.0059065578759166515
Bit_72,0.005903897093285926
